"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"1999","41","41000","Oregon","3,369,775","379,250","349,206","409,293","349,206 to 409,293","11.3","10.4","12.1","10.4 to 12.1","835,672","131,441","111,496","151,385","111,496 to 151,385","15.7","13.3","18.1","13.3 to 18.1","572,785","80,320","62,844","97,796","62,844 to 97,796","14.0","11.0","17.1","11.0 to 17.1","222,956","38,737","29,880","47,594","29,880 to 47,594","17.4","13.4","21.3","13.4 to 21.3","$40,033","$38,677","$41,389","$38,677 to $41,389"
"1998","41","41000","Oregon","3,314,203","400,952","367,763","434,142","367,763 to 434,142","12.1","11.1","13.1","11.1 to 13.1","841,888","141,997","119,946","164,047","119,946 to 164,047","16.9","14.2","19.5","14.2 to 19.5","609,630","90,992","70,932","111,052","70,932 to 111,052","14.9","11.6","18.2","11.6 to 18.2","224,082","45,821","36,718","54,924","36,718 to 54,924","20.4","16.4","24.5","16.4 to 24.5","$38,773","$36,988","$40,559","$36,988 to $40,559"
"1997","41","41000","Oregon","NA","379,506","348,146","410,866","348,146 to 410,866","11.6","10.6","12.6","10.6 to 12.6","NA","134,932","116,842","153,023","116,842 to 153,023","16.3","14.1","18.4","14.1 to 18.4","NA","82,718","66,445","98,991","66,445 to 98,991","13.9","11.2","16.7","11.2 to 16.7","NA","46,197","38,920","53,473","38,920 to 53,473","21.1","17.8","24.5","17.8 to 24.5","$37,284","$35,524","$39,044","$35,524 to $39,044"
"1996","41","41000","Oregon","NA","398,220","367,678","428,762","367,678 to 428,762","12.3","11.3","13.2","11.3 to 13.2","NA","146,438","128,322","164,554","128,322 to 164,554","17.6","15.5","19.8","15.5 to 19.8","NA","91,011","73,611","108,411","73,611 to 108,411","15.2","12.3","18.2","12.3 to 18.2","NA","48,303","41,682","54,924","41,682 to 54,924","22.1","19.1","25.2","19.1 to 25.2","$35,144","$33,192","$37,096","$33,192 to $37,096"
"1995","41","41000","Oregon","NA","399,899","382,767","417,031","382,767 to 417,031","12.5","12.0","13.1","12.0 to 13.1","NA","134,378","124,554","144,203","124,554 to 144,203","16.4","15.2","17.6","15.2 to 17.6","NA","75,693","63,716","87,670","63,716 to 87,670","13.0","10.9","15.1","10.9 to 15.1","NA","47,248","39,658","54,838","39,658 to 54,838","21.8","18.3","25.3","18.3 to 25.3","$34,533","$32,908","$36,158","$32,908 to $36,158"
"1993","41","41000","Oregon","NA","406,722","377,627","435,817","377,627 to 435,817","13.2","12.2","14.1","12.2 to 14.1","NA","146,719","129,476","163,962","129,476 to 163,962","18.3","16.2","20.5","16.2 to 20.5","NA","84,510","68,989","100,031","68,989 to 100,031","14.7","12.0","17.4","12.0 to 17.4","NA","53,516","49,642","57,390","49,642 to 57,390","24.9","23.1","26.7","23.1 to 26.7","$30,608","$29,368","$31,848","$29,368 to $31,848"
"1989","41","41000","Oregon","NA","353,222","340,795","365,649","340,795 to 365,649","12.5","12.1","13.0","12.1 to 13.0","NA","139,425","131,195","147,655","131,195 to 147,655","19.2","18.1","20.3","18.1 to 20.3","NA","85,798","78,976","92,620","78,976 to 92,620","16.8","15.5","18.2","15.5 to 18.2","NA","46,886","41,815","51,957","41,815 to 51,957","22.7","20.2","25.1","20.2 to 25.1","$27,795","$26,637","$28,953","$26,637 to $28,953"
"2014","42","42000","Pennsylvania","12,371,337","1,679,008","1,656,324","1,701,692","1,656,324 to 1,701,692","13.6","13.4","13.8","13.4 to 13.8","2,655,076","510,371","497,968","522,774","497,968 to 522,774","19.2","18.7","19.7","18.7 to 19.7","1,939,992","345,676","334,721","356,631","334,721 to 356,631","17.8","17.2","18.4","17.2 to 18.4","701,947","152,168","146,131","158,205","146,131 to 158,205","21.7","20.8","22.6","20.8 to 22.6","$53,224","$52,810","$53,638","$52,810 to $53,638"
"2013","42","42000","Pennsylvania","12,353,267","1,687,854","1,660,532","1,715,176","1,660,532 to 1,715,176","13.7","13.5","13.9","13.5 to 13.9","2,665,218","513,048","498,164","527,932","498,164 to 527,932","19.2","18.6","19.8","18.6 to 19.8","1,950,979","342,181","329,626","354,736","329,626 to 354,736","17.5","16.9","18.1","16.9 to 18.1","700,671","158,010","150,101","165,919","150,101 to 165,919","22.6","21.5","23.7","21.5 to 23.7","$52,005","$51,751","$52,259","$51,751 to $52,259"
"2012","42","42000","Pennsylvania","12,353,852","1,688,364","1,665,658","1,711,070","1,665,658 to 1,711,070","13.7","13.5","13.9","13.5 to 13.9","2,696,667","527,373","514,729","540,017","514,729 to 540,017","19.6","19.1","20.1","19.1 to 20.1","1,974,122","354,232","342,826","365,638","342,826 to 365,638","17.9","17.3","18.5","17.3 to 18.5","709,543","160,622","155,264","165,980","155,264 to 165,980","22.6","21.8","23.4","21.8 to 23.4","$51,225","$50,962","$51,488","$50,962 to $51,488"
"2011","42","42000","Pennsylvania","12,328,587","1,690,003","1,665,063","1,714,943","1,665,063 to 1,714,943","13.7","13.5","13.9","13.5 to 13.9","2,719,196","526,860","512,342","541,378","512,342 to 541,378","19.4","18.9","19.9","18.9 to 19.9","1,996,617","352,731","339,815","365,647","339,815 to 365,647","17.7","17.1","18.3","17.1 to 18.3","710,909","163,486","156,773","170,199","156,773 to 170,199","23.0","22.1","23.9","22.1 to 23.9","$50,221","$49,932","$50,510","$49,932 to $50,510"
"2010","42","42000","Pennsylvania","12,298,952","1,645,097","1,623,338","1,666,856","1,623,338 to 1,666,856","13.4","13.2","13.6","13.2 to 13.6","2,740,786","518,779","505,091","532,467","505,091 to 532,467","18.9","18.4","19.4","18.4 to 19.4","2,013,666","352,865","340,693","365,037","340,693 to 365,037","17.5","16.9","18.1","16.9 to 18.1","716,064","155,365","148,894","161,836","148,894 to 161,836","21.7","20.8","22.6","20.8 to 22.6","$49,245","$48,824","$49,666","$48,824 to $49,666"
"2009","42","42000","Pennsylvania","12,165,864","1,517,347","1,494,826","1,539,869","1,494,826 to 1,539,869","12.5","12.3","12.7","12.3 to 12.7","2,724,371","466,423","453,997","478,849","453,997 to 478,849","17.1","16.7","17.6","16.7 to 17.6","1,980,470","305,283","294,855","315,711","294,855 to 315,711","15.4","14.9","15.9","14.9 to 15.9","731,152","148,965","142,352","155,579","142,352 to 155,579","20.4","19.5","21.3","19.5 to 21.3","$49,501","$49,217","$49,784","$49,217 to $49,784"
"2008","42","42000","Pennsylvania","12,011,910","1,454,240","1,432,018","1,476,462","1,432,018 to 1,476,462","12.1","11.9","12.3","11.9 to 12.3","2,714,645","451,648","440,240","463,057","440,240 to 463,057","16.6","16.2","17.1","16.2 to 17.1","1,979,456","299,390","289,470","309,310","289,470 to 309,310","15.1","14.6","15.6","14.6 to 15.6","723,402","141,316","135,881","146,751","135,881 to 146,751","19.5","18.8","20.3","18.8 to 20.3","$50,702","$50,443","$50,960","$50,443 to $50,960"
"2007","42","42000","Pennsylvania","11,998,845","1,392,872","1,368,825","1,416,919","1,368,825 to 1,416,919","11.6","11.4","11.8","11.4 to 11.8","2,738,451","444,089","431,354","456,824","431,354 to 456,824","16.2","15.8","16.7","15.8 to 16.7","2,006,461","293,616","282,321","304,911","282,321 to 304,911","14.6","14.1","15.2","14.1 to 15.2","717,069","137,118","131,361","142,876","131,361 to 142,876","19.1","18.3","19.9","18.3 to 19.9","$48,562","$48,268","$48,855","$48,268 to $48,855"
"2006","42","42000","Pennsylvania","12,015,269","1,442,858","1,421,887","1,463,830","1,421,887 to 1,463,830","12.0","11.8","12.2","11.8 to 12.2","2,755,651","459,207","445,875","472,538","445,875 to 472,538","16.7","16.2","17.1","16.2 to 17.1","2,027,059","303,124","291,104","315,144","291,104 to 315,144","15.0","14.4","15.5","14.4 to 15.5","713,643","141,927","136,022","147,831","136,022 to 147,831","19.9","19.1","20.7","19.1 to 20.7","$46,256","$45,970","$46,542","$45,970 to $46,542"
"2005","42","42000","Pennsylvania","11,936,227","1,416,884","1,394,181","1,439,586","1,394,181 to 1,439,586","11.9","11.7","12.1","11.7 to 12.1","2,756,631","457,751","445,155","470,348","445,155 to 470,348","16.6","16.1","17.1","16.1 to 17.1","2,027,316","305,450","294,602","316,298","294,602 to 316,298","15.1","14.5","15.6","14.5 to 15.6","713,713","138,376","132,425","144,327","132,425 to 144,327","19.4","18.6","20.2","18.6 to 20.2","$44,545","$44,163","$44,927","$44,163 to $44,927"
"2004","42","42000","Pennsylvania","12,150,103","1,361,724","1,278,706","1,444,741","1,278,706 to 1,444,741","11.2","10.5","11.9","10.5 to 11.9","2,796,998","446,151","405,686","486,616","405,686 to 486,616","16.0","14.5","17.4","14.5 to 17.4","2,034,719","289,566","254,175","324,957","254,175 to 324,957","14.2","12.5","16.0","12.5 to 16.0","712,808","133,492","115,305","151,680","115,305 to 151,680","18.7","16.2","21.3","16.2 to 21.3","$43,714","$42,422","$45,006","$42,422 to $45,006"
"2003","42","42000","Pennsylvania","12,125,878","1,279,408","1,209,693","1,349,122","1,209,693 to 1,349,122","10.6","10.0","11.1","10.0 to 11.1","2,821,493","419,687","385,784","453,590","385,784 to 453,590","14.9","13.7","16.1","13.7 to 16.1","2,073,654","274,088","247,232","300,944","247,232 to 300,944","13.2","11.9","14.5","11.9 to 14.5","704,390","129,519","109,748","149,290","109,748 to 149,290","18.4","15.6","21.2","15.6 to 21.2","$42,952","$41,706","$44,199","$41,706 to $44,199"
"2002","42","42000","Pennsylvania","12,109,550","1,210,508","1,137,293","1,283,724","1,137,293 to 1,283,724","10.0","9.4","10.6","9.4 to 10.6","2,817,228","393,466","359,175","427,756","359,175 to 427,756","14.0","12.7","15.2","12.7 to 15.2","2,090,185","268,293","238,716","297,870","238,716 to 297,870","12.8","11.4","14.3","11.4 to 14.3","697,459","111,132","94,130","128,134","94,130 to 128,134","15.9","13.5","18.4","13.5 to 18.4","$42,043","$40,589","$43,497","$40,589 to $43,497"
"2001","42","42000","Pennsylvania","12,036,010","1,205,942","1,139,550","1,272,335","1,139,550 to 1,272,335","10.0","9.5","10.6","9.5 to 10.6","2,828,575","390,874","351,405","430,344","351,405 to 430,344","13.8","12.4","15.2","12.4 to 15.2","2,090,993","259,102","223,837","294,367","223,837 to 294,367","12.4","10.7","14.1","10.7 to 14.1","700,033","112,318","97,980","126,656","97,980 to 126,656","16.0","14.0","18.1","14.0 to 18.1","$42,288","$40,926","$43,651","$40,926 to $43,651"
"2000","42","42000","Pennsylvania","12,008,589","1,135,928","1,068,605","1,203,251","1,068,605 to 1,203,251","9.5","8.9","10.0","8.9 to 10.0","2,846,412","372,192","337,147","407,237","337,147 to 407,237","13.1","11.8","14.3","11.8 to 14.3","2,091,008","234,433","201,913","266,953","201,913 to 266,953","11.2","9.7","12.8","9.7 to 12.8","707,100","117,267","100,848","133,686","100,848 to 133,686","16.6","14.3","18.9","14.3 to 18.9","$41,419","$39,877","$42,961","$39,877 to $42,961"
"1999","42","42000","Pennsylvania","12,035,937","1,207,202","1,120,460","1,293,945","1,120,460 to 1,293,945","10.0","9.3","10.8","9.3 to 10.8","2,901,297","406,902","351,017","462,786","351,017 to 462,786","14.0","12.1","16.0","12.1 to 16.0","2,154,989","275,181","226,253","324,109","226,253 to 324,109","12.8","10.5","15.0","10.5 to 15.0","720,960","116,809","92,502","141,117","92,502 to 141,117","16.2","12.8","19.6","12.8 to 19.6","$38,918","$37,705","$40,130","$37,705 to $40,130"
"1998","42","42000","Pennsylvania","11,913,867","1,277,442","1,189,715","1,365,169","1,189,715 to 1,365,169","10.7","10.0","11.5","10.0 to 11.5","2,892,577","477,943","422,182","533,704","422,182 to 533,704","16.5","14.6","18.5","14.6 to 18.5","2,113,600","326,285","276,195","376,375","276,195 to 376,375","15.4","13.1","17.8","13.1 to 17.8","730,662","127,901","105,436","150,366","105,436 to 150,366","17.5","14.4","20.6","14.4 to 20.6","$39,116","$37,767","$40,464","$37,767 to $40,464"
"1997","42","42000","Pennsylvania","NA","1,297,614","1,209,254","1,385,974","1,209,254 to 1,385,974","10.9","10.1","11.6","10.1 to 11.6","NA","482,596","436,626","528,566","436,626 to 528,566","16.6","15.0","18.1","15.0 to 18.1","NA","314,407","275,277","353,537","275,277 to 353,537","14.8","12.9","16.6","12.9 to 16.6","NA","140,825","118,170","163,481","118,170 to 163,481","18.8","15.8","21.9","15.8 to 21.9","$37,267","$35,963","$38,571","$35,963 to $38,571"
"1996","42","42000","Pennsylvania","NA","1,371,267","1,285,292","1,457,241","1,285,292 to 1,457,241","11.5","10.8","12.2","10.8 to 12.2","NA","483,014","437,619","528,408","437,619 to 528,408","16.5","14.9","18.0","14.9 to 18.0","NA","326,556","285,687","367,425","285,687 to 367,425","15.3","13.4","17.3","13.4 to 17.3","NA","133,344","111,282","155,406","111,282 to 155,406","17.6","14.7","20.5","14.7 to 20.5","$35,109","$33,752","$36,465","$33,752 to $36,465"
"1995","42","42000","Pennsylvania","NA","1,360,793","1,300,382","1,421,203","1,300,382 to 1,421,203","11.4","10.9","11.9","10.9 to 11.9","NA","510,429","477,923","542,934","477,923 to 542,934","17.3","16.2","18.4","16.2 to 18.4","NA","332,828","309,998","355,658","309,998 to 355,658","15.7","14.6","16.8","14.6 to 16.8","NA","155,376","132,069","178,682","132,069 to 178,682","19.8","16.9","22.8","16.9 to 22.8","$34,437","$33,231","$35,643","$33,231 to $35,643"
"1993","42","42000","Pennsylvania","NA","1,546,672","1,451,384","1,641,960","1,451,384 to 1,641,960","12.9","12.1","13.7","12.1 to 13.7","NA","582,194","530,094","634,294","530,094 to 634,294","19.7","17.9","21.5","17.9 to 21.5","NA","377,578","333,434","421,722","333,434 to 421,722","18.1","15.9","20.2","15.9 to 20.2","NA","187,118","164,863","209,373","164,863 to 209,373","22.7","20.0","25.4","20.0 to 25.4","$31,044","$30,039","$32,049","$30,039 to $32,049"
"1989","42","42000","Pennsylvania","NA","1,223,609","1,154,510","1,292,708","1,154,510 to 1,292,708","10.4","9.8","11.0","9.8 to 11.0","NA","462,635","422,869","502,401","422,869 to 502,401","16.4","15.0","17.8","15.0 to 17.8","NA","289,616","256,833","322,399","256,833 to 322,399","14.7","13.0","16.4","13.0 to 16.4","NA","154,127","131,979","176,275","131,979 to 176,275","18.7","16.0","21.4","16.0 to 21.4","$28,825","$27,889","$29,761","$27,889 to $29,761"
"2014","44","44000","Rhode Island","1,015,656","149,825","144,246","155,404","144,246 to 155,404","14.8","14.3","15.3","14.3 to 15.3","210,531","44,563","42,149","46,977","42,149 to 46,977","21.2","20.1","22.3","20.1 to 22.3","155,963","29,926","27,885","31,967","27,885 to 31,967","19.2","17.9","20.5","17.9 to 20.5","53,759","13,747","12,527","14,967","12,527 to 14,967","25.6","23.3","27.9","23.3 to 27.9","$54,797","$53,523","$56,071","$53,523 to $56,071"
"2013","44","44000","Rhode Island","1,010,806","148,275","142,320","154,230","142,320 to 154,230","14.7","14.1","15.3","14.1 to 15.3","209,869","46,149","43,377","48,921","43,377 to 48,921","22.0","20.7","23.3","20.7 to 23.3","155,334","31,368","29,074","33,662","29,074 to 33,662","20.2","18.7","21.7","18.7 to 21.7","53,730","13,909","12,450","15,368","12,450 to 15,368","25.9","23.2","28.6","23.2 to 28.6","$55,015","$53,478","$56,552","$53,478 to $56,552"
"2012","44","44000","Rhode Island","1,010,452","143,625","138,073","149,177","138,073 to 149,177","14.2","13.7","14.7","13.7 to 14.7","213,424","44,355","41,942","46,768","41,942 to 46,768","20.8","19.7","21.9","19.7 to 21.9","157,890","29,653","27,475","31,831","27,475 to 31,831","18.8","17.4","20.2","17.4 to 20.2","54,293","13,739","12,683","14,795","12,683 to 14,795","25.3","23.4","27.2","23.4 to 27.2","$54,002","$52,598","$55,406","$52,598 to $55,406"
"2011","44","44000","Rhode Island","1,009,929","148,079","142,716","153,442","142,716 to 153,442","14.7","14.2","15.2","14.2 to 15.2","216,523","46,569","44,086","49,052","44,086 to 49,052","21.5","20.4","22.6","20.4 to 22.6","160,669","30,944","28,855","33,033","28,855 to 33,033","19.3","18.0","20.6","18.0 to 20.6","55,072","14,819","13,376","16,262","13,376 to 16,262","26.9","24.3","29.5","24.3 to 29.5","$53,152","$51,803","$54,501","$51,803 to $54,501"
"2010","44","44000","Rhode Island","1,012,202","143,132","137,475","148,789","137,475 to 148,789","14.1","13.5","14.7","13.5 to 14.7","221,322","44,041","41,340","46,742","41,340 to 46,742","19.9","18.7","21.1","18.7 to 21.1","163,975","29,074","26,666","31,482","26,666 to 31,482","17.7","16.2","19.2","16.2 to 19.2","56,283","14,107","12,882","15,332","12,882 to 15,332","25.1","22.9","27.3","22.9 to 27.3","$52,053","$51,032","$53,074","$51,032 to $53,074"
"2009","44","44000","Rhode Island","1,015,672","122,379","116,902","127,856","116,902 to 127,856","12.0","11.5","12.6","11.5 to 12.6","223,355","39,988","37,500","42,476","37,500 to 42,476","17.9","16.8","19.0","16.8 to 19.0","162,933","27,268","25,171","29,365","25,171 to 29,365","16.7","15.4","18.0","15.4 to 18.0","58,946","11,730","10,410","13,049","10,410 to 13,049","19.9","17.7","22.1","17.7 to 22.1","$53,243","$52,028","$54,458","$52,028 to $54,458"
